témoin-témoin-3.4°-0°-5m-f55mm-a0-185lux
graphite-stop to speed limit-3.4°-0°-5m-f55mm-a0-185lux
shapeshifter-car-3.4°-0°-5m-f55mm-a0-185lux
shapeshifter-personne-3.4°-0°-5m-f55mm-a0-185lux
témoin-témoin-3.4°-0°-5m-f70mm-a0-185lux
graphite-stop to speed limit-3.4°-0°-5m-f70mm-a0-185lux
shapeshifter-car-3.4°-0°-5m-f70mm-a0-185lux
shapeshifter-personne-3.4°-0°-5m-f70mm-a0-185lux
témoin-témoin-3.4°-0°-5m-f100mm-a0-185lux
graphite-stop to speed limit-3.4°-0°-5m-f100mm-a0-185lux
shapeshifter-car-3.4°-0°-5m-f100mm-a0-185lux
shapeshifter-personne-3.4°-0°-5m-f100mm-a0-185lux
témoin-témoin-3.4°-0°-5m-f55mm-a0+20°-185lux
graphite-stop to speed limit-3.4°-0°-5m-f55mm-a0+20°-185lux
shapeshifter-car-3.4°-0°-5m-f55mm-a0+20°-185lux
shapeshifter-personne-3.4°-0°-5m-f55mm-a0+20°-185lux
témoin-témoin-3.4°-0°-5m-f55mm-a0-20°-185lux
graphite-stop to speed limit-3.4°-0°-5m-f55mm-a0-20°-185lux
shapeshifter-car-3.4°-0°-5m-f55mm-a0-20°-185lux
shapeshifter-personne-3.4°-0°-5m-f55mm-a0-20°-185lux
témoin-témoin-3.4°-17°-5m-f55mm-a0-185lux
graphite-stop to speed limit-3.4°-17°-5m-f55mm-a0-185lux
shapeshifter-car-3.4°-17°-5m-f55mm-a0-185lux
shapeshifter-personne-3.4°-17°-5m-f55mm-a0-185lux
témoin-témoin-3.4°-31°-5m-f55mm-a0-185lux
graphite-stop to speed limit-3.4°-31°-5m-f55mm-a0-185lux
shapeshifter-car-3.4°-31°-5m-f55mm-a0-185lux
shapeshifter-personne-3.4°-31°-5m-f55mm-a0-185lux
témoin-témoin-3.4°-50°-5m-f55mm-a0-185lux
graphite-stop to speed limit-3.4°-50°-5m-f55mm-a0-185lux
shapeshifter-car-3.4°-50°-5m-f55mm-a0-185lux
shapeshifter-personne-3.4°-0°-5m-f55mm-a0-185lux
graphite-sans panneau 1-3.4°-0°-5m-f55mm-a0-185lux
graphite-sans panneau 2-3.4°-0°-5m-f55mm-a0-185lux
shapeshifter-2 panneaux-3.4°-0°-5m-f55mm-a0-185lux
témoin-témoin-3.4°-0°-5m-f18mm-a0-185lux
graphite-stop to speed limit-3.4°-0°-5m-f18mm-a0-185lux
shapeshifter-car-3.4°-0°-5m-f18mm-a0-185lux
shapeshifter-personne-3.4°-0°-5m-f18mm-a0-185lux
témoin-témoin-3.4°-0°-5m-f24mm-a0-185lux
graphite-stop to speed limit-3.4°-0°-5m-f24mm-a0-185lux
shapeshifter-car-3.4°-0°-5m-f24mm-a0-185lux
shapeshifter-personne-3.4°-0°-5m-f24mm-a0-185lux
témoin-témoin-3.4°-0°-5m-f35mm-a0-185lux
graphite-stop to speed limit-3.4°-0°-5m-f35mm-a0-185lux
shapeshifter-car-3.4°-0°-5m-f35mm-a0-185lux
shapeshifter-personne-3.4°-0°-5m-f35mm-a0-185lux
